š;X;X
škarpa;-e;ž
škarpast;-a -o;prid.
škarpen;-pna -o;prid.
škarpina;-e;ž
škart;;tudi
škart;;tudi
škarta;-e;ž
škarten;-tna -o;prid.
škartiranje;-a;s
škartirati;-am;dov. in nedov.
škartoc;-a;m
škateln;-a -o;prid.
škatla;-e;ž
škatlast;-a -o;prid.
škatlati;-am;nedov.
škatlati;-am;nedov.
škatlica;-e;ž
škavna;-e;ž
škec;škeca;m
škilast;-a -o;prid.
škilav;-a -o;prid.
škilavec;-vca;m
škilavost;-i;ž
škilec;-lca;m
škileti;-im;nedov.
škilež;-a;m
škiliti;-im;nedov.
škiljenje;-a;s
škis;-a;m
šklebetati;-am;tudi
šklebniti;-em;dov.
šklefetati;-am;tudi
šklemfa;-e;ž
šklemfast;-a -o;prid.
šklemp;;medm.
šklempniti;-em;dov.
šklepet;-eta;m
šklepetanje;-a;s
šklepetati;-am;tudi
šklepetav;-ava -o;prid.
šklepetniti;-em;in
šklepniti;-em;in
škloc;;medm.
šklocati;-am;tudi
šklocniti;-em;tudi
šklompniti;-em;dov.
šklop;šklopa;m
šklopniti;-em;dov.
šklopot;-ota;m
šklopotanje;-a;s
šklopotati;-am;tudi
šklopotniti;-em;dov.
škoditi;-im;nedov. in dov.
škoditi;-im;nedov. in dov.
škodljiv;-a -o;prid.
škodljivec;-vca;m
škodljivka;-e;ž
škodljivost;-i;ž
škodljivski;-a -o;prid.
škodljivstvo;-a;s
škodovati;-ujem;tudi
škodoželje;-a;s
škodoželjen;-jna -o;prid.
škodoželjnež;-a;m
škodoželjnost;-i;ž
škof;škofa;tudi
škofija;-e;ž
škofijski;-a -o;prid.
škofijstvo;-a;s
škofjeloški;-a -o;prid.
škofljan;;in
škofov;;tudi
škofovanje;-a;s
škofovski;-a -o;prid.
školcijat;-a;m
škofovanje;-a;s
škofovski;-a -o;prid.
školcijat;-a;m
školj;-a;m
školjèen;-èna -o;prid.
školjèica;-e;ž
školjènica;-e;ž
školjka;-e;ž
školjkar;-ja;m
školjkarstvo;-a;s
školjkast;-a -o;prid.
školjkica;-e;ž
školjkovina;-e;ž
školjkovit;-a -o;prid.
školnik;-a;m
škomber;-bra;m
škop;škopa;in
škopa;-e;ž
škopati;-am;nedov.
škopen;-pna -o;prid.
škopnik;-a;m
škopnjak;-a;m
škorèek;-èka;m
škorèevka;-e;ž
škorènica;-e;ž
škorec;-rca;m
škorenj;-rnja;m
škorenjc;-a;m
škorenjèek;-èka;m
škornja;-e;ž
škornjast;-a -o;prid.
škornjica;-e;ž
škornjiè;-a;m
škorpijon;-a;m
škorpijonka;-e;ž
škorpijonov;-a -o;prid.
škorpijonski;-a -o;prid.
škota;-e;ž
škotski;-a -o;prid.
škrabati;-am;tudi
škrabica;-e;ž
škrabljanje;-a;s
škrabljati;-am;nedov.
škrabotinje;-a;s
škrapa;-e;ž
škrapast;-a -o;prid.
škraplja;-e;ž
škrapljast;-a -o;prid.
škrat;škrata;m
škratast;-a -o;prid.
škratec;-tca;m
škratek;-tka;m
škratelj;-na;tudi
škrateljc;-a;m
škrateljèek;-èka;m
škratica;;tudi
škratji;-a -e;prid.
škratovka;-e;ž
škratovski;-a -o;prid.
škrb;-a -o;prid.
škrba;-e;ž
škrbast;-a -o;prid.
škrbati;-am;tudi
škrbav;-a -o;prid.
škrbavec;-vca;m
škrbavka;-e;ž
škrbavost;-i;ž
škrbec;-bca;m
škrbina;-e;ž
škrbinast;-a -o;prid.
škrbinica;-e;ž
škrbinka;-e;ž
škrbiti;-im,;in
škrbljati;-am;nedov.
škrcniti;-em;dov.
škreb;;medm.
škrebati;-am;tudi
škrebetalka;-e;ž
škrebetanje;-a;s
škrebetati;-am;tudi
škrebetulja;-e;ž
škrebljanje;-a;s
škrebljati;-am;nedov.
škrepetati;-am;tudi
škrga;-e;ž
škrgonožec;-žca;m
škrgoustka;-e;ž
škriban;-a;m
škribent;-enta;in
škribontar;-ja;m
škric;-a;m
škricast;-a -o;prid.
škricman;-a;m
škricovski;-a -o;prid.
škril;-a;m
škril;-i;ž
škrila;-e;ž
škrilast;-a -o;prid.
škrilav;-a -o;prid.
škrilavec;-vca;m
škrilen;-lna -o;prid.
škrilje;-a;s
škrilnat;-a -o;prid.
škrinja;-e;ž
škrinjica;-e;ž
škrip;-a;m
škrip;;medm.
škripa;-e;ž
škripaè;-a;m
škripalo;-a;s
škripanje;;in
škripati;;tudi
škripav;-a -o;in
škripavka;-e;ž
škripèevje;-a;s
škripec;-pca;m
škripniti;-em;dov.
škripot;-ota;m
škrjanèar;-ja;m
škrjanèek;-èka;m
škrjanèev;-a -o;prid.
škrjanèji;-a -e;prid.
škrjanec;-nca;m
škrjanka;-e;ž
škrkniti;-em;dov.
škrl;-a;m
škrl;-i;ž
škrla;-e;ž
škrlast;-a -o;prid.
škrlat;-a;m
škrlatast;-a -o;prid.
škrlaten;-tna -o;prid.
škrlateti;-im;nedov.
škrlatica;-e;ž
škrlatinka;-e;ž
škrlatiti;-im;tudi
škrlatnik;-a;m
škrlec;-lca;m
škrleti;-im;nedov.
škrlica;;tudi
škrljak;-a;m
škrlup;-a;m
škrlupar;-ja;m
škrlupast;-a -o;prid.
škrnek;-nka;m
škrnicelj;-clja;m
škrniceljèek;-èka;m
škrnjavec;-vca;m
škrnjavec;-vca;m
škrob;-a;m
škrobarna;-e;ž
škrobati;-am;nedov.
škroben;-bna -o;prid.
škrobilec;-lca;m
škrobilen;-lna -o;prid.
škrobilnica;-e;ž
škrobilo;-a;s
škrobiti;-im;nedov.
škrobljenje;-a;s
škrobnat;-a -o;prid.
škrobot;-ota;m
škrobotanje;-a;s
škrobotati;-am;tudi
škrobotec;-tca;m
škrobov;-a -o;prid.
škrobovina;-e;ž
škrofeljni;;in
škrofuloza;-e;ž
škrofulozen;-zna -o;prid.
škropec;-pca;m
škropilec;-lca;m
škropilen;-lna -o;prid.
škropilen;-lna -o;prid.
škropilnica;-e;ž
škropilnik;-a;m
škropilo;-a;s
škropiti;-im;nedov.
škropivo;-a;s
škropljenje;-a;s
škropniti;-em;in
škropot;-ota;m
škropotati;-am;tudi
škrpet;-eta;in
škrpeta;-e;ž
škrpetelj;-tlja;tudi
