è;X;X
èofotanje;-a;s
èofotati;-am;nedov.
èofotniti;-em;dov.
èohalnik;-a;m
èohalo;-a;s
èohati;-am;in
èohljati;-am;nedov.
èohneti;-im;nedov.
èohniti;-em;in
èok;èoka;m
èoka;-e;ž
èokast;-a -o;prid.
èokat;-ata -o;prid.
èokatec;-tca;m
èokati;-am;nedov.
èokatost;-i;ž
èokec;-kca;m
èoketa;-e;ž
èokljat;-ata -o;prid.
èokolada;-e;ž
èokoladast;-a -o;prid.
èokoladen;-dna -o;prid.
èokoladica;-e;ž
èokoladka;-e;ž
èolja;-e;ž
èoln;-a;m
èolnar;-ja;m
èolnariti;-im;nedov.
èolnarjenje;-a;s
èolnarna;-e;ž
èolnarski;-a -o;prid.
èolnarstvo;-a;s
èolnast;-a -o;prid.
èolnek;-nka;m
èolniè;-ièa;in
èolnièast;-a -o;prid.
èolnièek;-èka;m
èolnièkast;-a -o;prid.
èolnina;-e;ž
èolnišèe;-a;s
èompa;-e;ž
èop;èopa;tudi
èop;;medm.
èopa;;in
èopar;;in
èopast;;in
èopat;-ata -o;prid.
èopec;;in
èopek;;in
èopiè;;in
èopièast;;in
èopièek;;in
èopka;;in
èopkast;;in
èopljanje;-a;s
èopljati;-am;nedov.
èopnica;-e;ž
èopolas;;in
èopotanje;-a;s
èopotati;-am;nedov.
èorav;;in
èorba;-e;ž
èorbast;-a -o;prid.
èorbast;-a -o;prid.
èotast;-a -o;prid.
èotati;-am;in
èotavec;-vca;m
èovinek;-nka;m
èovinkati;-am;nedov.
èožot;-a;m
èrèa;-e;ž
èrèkanje;-a;s
èrèkati;-am;nedov.
èreda;-e;ž
èreden;-dna -o;prid.
èredenje;-a;s
èredica;-e;ž
èredilen;-lna -o;prid.
èredinka;-e;ž
èredinstvo;-a;s
èrediti;-im;nedov.
èrednica;-e;ž
èrednik;-a;m
èrednost;-i;ž
èremoš;;in
èremsa;-e;ž
èrensa;-e;ž
èrensa;-e;ž
èrep;-a;m
èrep;;medm.
èrepaha;-e;ž
èrepalo;-a;s
èrepati;-am;in
èrepica;-e;ž
èrepinja;-e;ž
èrepinjak;-a;m
èrepinjski;-a -o;prid.
èrepnja;-e;ž
èrepovje;-a;s
èreslar;;tudi
èreslast;;tudi
èreslati;-am;tudi
èreslen;-a -o;prid.
èreslenica;;tudi
èreslo;;tudi
èreslov;;tudi
èreslovina;-e;ž
èrešnja;ipd.;gl.
èret;-a;m
èreta;-e;ž
èreten;-tna -o;prid.
èretež;-a;m
èretina;;tudi
èretje;-a;s
èrevarna;-e;ž
èrevast;-a -o;prid.
èrevce;-a;s
èrevesen;-sna -o;prid.
èrevesje;-a;s
èrevje;-a;s
èrevnica;-e;ž
èrevo;-esa;s
èrevoškrgar;-ja;m
èrez;ipd.;gl.
èrhniti;-em;dov.
èri;;medm.
èrièanje;-a;s
èrièati;-im;nedov.
èrièek;-èka;m
èrièkati;-am;nedov.
èrikanje;-a;s
èrikati;-am;nedov.
èrka;-e;ž
èrkar;-ja;m
èrkarski;-a -o;prid.
èrkati;-am;nedov.
èrkati;-am;nedov.
èrkica;-e;ž
èrko...;;ali
èrkogriz;-a;m
èrkolivar;-ja;m
èrkolivec;-vca;m
èrkolivnica;-e;ž
èrkopis;-a;m
èrkorezec;-zca;m
èrkoslikar;-ja;m
èrkostavec;-vca;m
èrkostavnica;-e;ž
èrkovalen;-lna -o;prid.
èrkovanje;-a;s
èrkovati;-ujem;nedov.
èrkoven;-vna -o;prid.
èrkovnica;-e;ž
èrkovnik;-a;m
èrkovnjak;-a;m
èrlikati;-am;nedov.
èrm;-a;m
èrmelika;-e;ž
èrmljen;-ena -o;prid.
èrmnooka;-e;ž
èrmnooka;-e;ž
èrmnovka;-e;ž
èrn;-i;ž
èrn;-a -o;stil.
èrnav;;tudi
èrnavka;;tudi
èrnavkast;;tudi
èrnavs;-a;m
èrnèek;-èka;m
èrne;-eta;m
èrnec;-nca;m
èrnenje;-a;s
èrneti;-im;nedov.
èrnica;-e;ž
èrnièen;-èna -o;prid.
èrnièevec;-vca;m
èrnièevje;-a;s
èrnika;-e;ž
èrnikalec;-lca;m
èrnikast;-a -o;prid.
èrnikav;-a -o;prid.
èrnilec;-lca;m
èrnilen;-lna -o;prid.
èrnilnik;-a;m
èrnilo;-a;s
èrnilovka;-e;ž
èrnina;-e;ž
èrniti;-im;in
èrnjak;-a;m
èrnjav;-i;ž
èrnjav;;prid.
èrnjava;-e;ž
èrnjavec;-vca;m
èrnjenje;;in
èrnka;-e;ž
èrnkast;-a -o;prid.
èrnklja;-e;ž
èrnko;-a;m
èrnoba;-e;ž
èrnobina;-e;ž
èrnoborzijanec;-nca;m
èrnoborzijaniti;-im;nedov.
èrnoborzijanski;-a -o;prid.
èrnoborzijanstvo;-a;s
èrnobrad;;in
èrnobradat;-ata -o;prid.
èrnobradec;-dca;m
èrnobrk;-a -o;prid.
èrnobradec;-dca;m
èrnobrk;-a -o;prid.
èrnobukvar;-ja;m
èrnoèel;-a -o;prid.
èrnoèelec;;in
èrnodlak;;in
èrnoga;-e;ž
èrnogelj;-glja;m
èrnoglav;;in
èrnoglavèek;-èka;m
èrnoglavka;-e;ž
èrnogled;-eda;m
èrnogled;-a -o;prid.
èrnogledec;-dca;m
èrnogleden;-dna -o;prid.
èrnogledje;-a;s
èrnoglednež;-a;m
èrnoglednost;-i;ž
èrnogledost;-i;ž
èrnogorski;-a -o;prid.
èrnograditelj;-a;m
èrnogriv;-a -o;prid.
èrnojagodast;-a -o;prid.
èrnokalec;-lca;m
èrnokljun;-a -o;prid.
èrnokodrast;-a -o;prid.
èrnokož;-a -e;prid.
èrnokožec;-žca;m
èrnokožen;-žna -o;prid.
èrnokril;-a -o;prid.
èrnolas;;in
èrnolasec;-sca;m
èrnolaska;-e;ž
èrnolica;-e;ž
èrnomorski;-a -o;prid.
èrnoobrv;-a -o;prid.
èrnook;-a -o;prid.
èrnooka;-e;ž
èrnopoljen;-jna -o;prid.
èrnopolt;-a -o;prid.
èrnorep;;in
èrnorizec;-zca;m
èrnorokec;-kca;m
èrnosrajènik;-a;m
èrnost;-i;ž
èrnosuknjar;-ja;m
èrnosuknjež;-a;m
èrnošolec;-lca;m
èrnošolstvo;-a;s
èrnota;-e;ž
èrnovka;-e;ž
èrnovojen;-jna -o;prid.
èrnovojnik;-a;m
èrnozemen;-mna -o;prid.
èrnski;-a -o;prid.
èrnuh;-a;m
èrnuha;-e;ž
èrnuhar;-ja;m
èrnulja;-e;ž
èrnuška;-e;ž
èrpalec;-lca;m
èrpalen;-lna -o;prid.
èrpališèe;-a;s
èrpalka;-e;ž
èrpalkar;-ja;m
èrpalnica;-e;ž
èrpalo;-a;s
èrpanje;-a;s
èrpati;-am;nedov.
èrstev;-tva -o;prid.
èrta;-e;ž
èrta;-e;ž
èrtalast;-a -o;prid.
èrtalce;-a;s
èrtalen;-lna -o;prid.
èrtalnik;-a;m
èrtalo;-a;s
èrtanec;-nca;m
èrtanje;-a;s
èrtanka;-e;ž
èrtast;-a -o;prid.
èrtati;-am;nedov.
èrten;-tna -o;prid.
èrtež;-a;m
èrtežen;-žna -o;prid.
èrtica;-e;ž
èrtièar;-ja;m
èrtilec;-lca;m
èrtiti;-im,;in
èrtka;-e;ž
èrtkanje;-a;s
èrtkast;-a -o;prid.
èrtkati;-am;nedov.
èrtkanje;-a;s
èrtkast;-a -o;prid.
èrtkati;-am;nedov.
èrtnik;-a;m
èrtomirstvo;;in
èrtovje;-a;s
èrv;-a;m
èrvad;-i;ž
èrvar;-ja;m
èrvariti;-im;nedov.
èrvarjenje;-a;s
èrvast;-a -o;prid.
èrvaveti;-im;nedov.
èrviè;-ièa;m
èrvièast;-a -o;prid.
èrvièek;-èka;m
èrvièenje;-a;s
èrvièiti;-im;nedov.
èrvina;-e;ž
èrvinka;-e;ž
èrviv;-a -o;prid.
èrvivec;-vca;m
èrviviti;-im;nedov.
èrvivost;-i;ž
èrvojed;-a -o;prid.
èrvojeden;-dna -o;prid.
èrvojedina;-e;ž
èrvojedinast;-a -o;prid.
ètivo;-a;s
èuber;-bra;m
èubeti;-im;nedov.
èuèek;-èka;m
èuèka;-e;ž
èuèniti;-em;dov.
èud;-i;ž
èuda;;prisl.
èudak;-a;m
èudakar;-ja;m
èudakinja;-e;ž
èudapoln;-a -o;prid.
èudaški;-a -o;prid.
èudaštvo;-a;s
èuden;-dna -o;prid.
èudenje;;tudi
èudesen;-sna -o;prid.
èudež;-a;m
èudežen;-žna -o;prid.
èudežnik;-a;m
èudežnost;-i;ž
èuditi se;;in
èudnež;-a;m
èudnolik;-a -o;prid.
